-4884018639043824038,1
4498483916594990618,1
Tarawa,Pacific
7828998108286318593,1
-5012372834971943610,1
624978947369431497,1
-3580021781256956001,1
2707315693044175021,1
Dubai,Asia
8383760536483283474,1
-1267915343083665499,1
-3538312995857787736,1
-4725291956951063240,1
Rainy_River,America
Madrid,Europe
-1531537554310761448,1
5240246516906279036,1
2418694259229735703,1
-5778647087336989517,1
-1988202688964024092,1
5798806905524011525,1
-2160244768458043504,1
-6980241728516564971,1
1305906321358854988,1
7631418287481876009,1
4968426936556450291,1
6516438431591114983,1
-2067177458178631474,1
5014208761989448056,1
-2103419102081731386,1
6640730759884099501,1
4882073013087170029,1
324518666469248940,1
-1632325164514177485,1
-8332081674519139391,1
-8878251613757625013,1
2740847526148044143,1
-6732899257963159339,1
-688824411117841058,1
5093655468886629787,1
243584665504725377,1
-360437690791407464,1
273824673022630276,1
-4581685492551665576,1
-9168511689526571141,1
Dawson,America
5087541216591802085,1
El_Aaiun,Africa
Simferopol,Europe
5441935358608328321,1
Kathmandu,Asia
2270874837418707061,1
Qatar,Asia
BajaSur,Mexico
2495097808735553142,1
Mahe,Indian
Magadan,Asia
-2021780582084179829,1
2855548859885723640,1
7527498139577691820,1
-7095317809616799704,1
-26697103751837422,1
General,Mexico
-1444355141534894602,1
-7928829943297761338,1
Denver,America
4116089962012484000,1
204310644655008406,1
3299625178350587491,1
-2641115575712929310,1
-1664177329405885929,1
-5948556005786548811,1
3558900389772285562,1
Kuala_Lumpur,Asia
6125736310302255639,1
26967153873679691,1
El_Salvador,America
-7815479900701527700,1
-1548764531285162119,1
Faeroe,Atlantic
1724081478451060068,1
Christmas,Indian
1807338367389844272,1
7562181798037182232,1
8228186775922701792,1
-6754489329814325763,1
1430489580257907660,1
-192813513599714533,1
Managua,America
5571183478028015384,1
-7610362199182220306,1
-3729273304361768341,1
Cancun,America
-5472292574240491515,1
Samara,Europe
-1290910701349081514,1
-1540269015373035291,1
-2164941038607321109,1
1941806562783204819,1
2107294867954198979,1
Macao,Asia
2128703753226708812,1
-8872107969499883075,1
-1160641652804115807,1
1926013634274761806,1
-5590003304587830996,1
South_Georgia,Atlantic
-3036631130358041792,1
-7705899043995259385,1
5448397036898962393,1
4829900689101044417,1
-7784142448699579682,1
2957342187148701573,1
4950190231287513017,1
Blanc-Sablon,America
4180180671283763384,1
-8226073661503347685,1
-4161970545940343668,1
-1890168165709319275,1
6347371049353741311,1
Noumea,Pacific
-436887016770522360,1
-1954801823293491874,1
Matamoros,America
-778871769433216105,1
-1582694924853216487,1
8165940940462602103,1
-1306026297745106842,1
-7415066191801409324,1
-5923044449594180837,1
9031439968583450313,1
Ujung_Pandang,Asia
